Entity,Code,Year,Wind (terawatt-hours),Hydro (terawatt-hours),Nuclear (terawatt-hours),Solar (terawatt-hours),Other renewables (terawatt-hours),Coal (terawatt-hours),Oil (terawatt-hours),Natural gas (terawatt-hours)
Africa,,1965,0,14.27880557,0,0,0,,1235.100893,
Africa,,1966,0,15.64904894,0,0,0,,1571.826917,
Africa,,1967,0,16.15833296,0,0,0,,1729.137039,
Africa,,1968,0,18.62298276,0,0,0,,2216.125949,
Africa,,1969,0,21.58289682,0,0,0,,2818.294394,
Africa,,1970,0,27.07628702,0,0,0,,3399.629209,30.1721625
Africa,,1971,0,25.8366053,0,0,0.164,,3181.029766,37.02290199
Africa,,1972,0,29.83687842,0,0,0.165,,3194.173461,65.13484622
Africa,,1973,0,29.80374195,0,0,0.17,,3346.921527,98.32215262
Africa,,1974,0,35.08918549,0,0,0.175,,3085.567264,102.6049966
Africa,,1975,0,36.87904837,0,0,0.172,,2831.092614,115.3311487
Africa,,1976,0,40.86117924,0,0,0.185,,3377.110139,137.2821343
Africa,,1977,0,45.08335112,0,0,0.189,,3541.035529,139.9768493
Africa,,1978,0,46.08507934,0,0,0.195,,3456.545199,186.6902766
Africa,,1979,0,47.28020678,0,0,0.201,,3800.223799,283.3299451
Africa,,1980,0,46.03017056,0,0,0.207,,3492.487121,248.3033888
Africa,,1981,0,48.37744646,0,0,0.218,909.9033434,2773.140062,264.7480396
Africa,,1982,0,48.63271473,0,0,0.236,998.7121948,2666.06156,325.1128929
Africa,,1983,0,45.50891466,0,0,0.23,1011.872797,2702.351415,436.956829
Africa,,1984,0,45.12596032,3.925,0,0.234,1128.452846,2885.779348,458.6506938
Africa,,1985,0,49.44675065,5.315,0,0.269,1198.910662,3000.330927,505.6782097
Africa,,1986,0,51.1419867,8.803,0,0.659,1229.491194,2991.71151,530.1431318
Africa,,1987,0,49.05836471,6.167,0,0.658,1230.774933,2997.637391,578.9781925
Africa,,1988,0,53.59506976,10.493,0,0.626,1264.931454,3124.963679,617.5322795
Africa,,1989,0,56.27756997,11.099,0,0.617,1228.4504,3449.03182,677.4079679
Africa,,1990,0,57.25465912,8.449,0,0.732,1221.226019,3696.371821,721.590593
Africa,,1991,0,60.65148841,9.144,0,0.738,1244.81481,3834.597156,773.4517301
Africa,,1992,0,57.86029168,9.288000285,0,0.76225,1273.139395,3907.297513,808.2827993
Africa,,1993,0.002,56.68250727,7.255000053,0,0.8397,1296.996941,3856.359525,833.4067217
Africa,,1994,0.0054,57.59604857,9.696999854,0,0.729,1348.031758,3848.592396,789.6462176
Africa,,1995,0.0063,59.76887687,11.30099943,0,0.9127,1416.04341,3910.952949,872.7052224
Africa,,1996,0.0071,62.31645867,11.77500009,0,1.120093088,1411.68518,4037.574349,933.3250037
Africa,,1997,0.0072,63.85249756,12.64699988,0,1.228640408,1501.607581,4131.453804,1041.611024
Africa,,1998,0.0076,66.65488788,13.60099945,0,1.530549286,1521.74651,4145.346221,1109.316354
Africa,,1999,0.0198,70.68426132,12.83699988,0,1.488124799,1519.337178,4028.149016,1216.725745
Africa,,2000,0.176,75.24581661,13.01000009,0.0184,2.224423439,1518.017662,4321.54056,1351.01243
Africa,,2001,0.41608,80.86411467,10.71899964,0.0247,2.291352632,1514.256943,4278.227367,1396.443045
Africa,,2002,0.444564,85.18146813,11.99099944,0.03080101,2.2404,1488.923487,4307.26004,1460.082746
