day,BON,TDA,JDA,MCN,IHR,LMN,LGS,LWG,BON,TDA,JDA,MCN,PRD,WAN,RIS,RRH,WEL,CHJ,GCL,CIBW
1,,,,,,,,,,,,,6.39565217391305,6.2304347826087,6.21739130434783,6.29583333333333,6.3,6.51538461538462,6.875,4.0625
2,,,,,,,,,,,,,6.1304347826087,5.98260869565217,6.02608695652174,6.1,6.3,6.5,6.76666666666666,4.00833333333333
3,,,,,,,,,,,,,5.95652173913044,5.82173913043478,5.96363636363636,6.09130434782608,6.2,,6.6125,4.1875
4,,,,,,,,,,,,,5.89130434782609,5.8,6.025,6.15416666666667,6.2,,6.525,4.12083333333333
5,,,,,,,,,,,,,5.9,5.73478260869565,6.06818181818182,6.13913043478261,6.2,,6.46666666666667,4.1125
6,,,,,,,,,,,,,5.8,5.7,6.02272727272727,6.0875,6.2,,6.32083333333333,4.24166666666667
7,,,,,,,,,,,,,5.66086956521739,5.7,5.96521739130435,6.05416666666666,6.1,,6.08333333333333,4.07916666666667
8,,,,,,,,,,,,,5.5695652173913,5.6695652173913,5.85652173913043,5.92916666666667,6,6.12,5.90416666666667,3.88333333333333
9,,,,,,,,,,,,,5.57826086956522,5.58695652173913,5.8,5.81739130434782,5.9,,5.70833333333333,3.89166666666667
10,,,,,,,,,,,,,5.59565217391304,5.49565217391304,5.78695652173913,5.805,5.7,,5.59583333333333,3.88333333333333
11,,,,,,,,,,,,,5.53913043478261,5.52173913043478,5.8,5.84166666666667,5.6,,5.47083333333333,3.94166666666667
12,,,,,,,,,,,,,5.52608695652174,5.54347826086956,5.77826086956522,5.79047619047619,5.6,,5.33333333333333,3.94166666666667
13,,,,,,,,,,,,,5.51739130434783,5.48260869565217,5.70454545454546,5.66363636363636,5.5,,5.17916666666667,4
14,,,,,,,,,,,,,5.41304347826087,5.45652173913044,5.52727272727273,5.53809523809524,5.4,5.18571428571429,5.02916666666667,3.85
15,,,,,,,,,,,,,5.34347826086956,5.34782608695652,5.51739130434782,5.32727272727273,5,5.02,4.92083333333334,3.78333333333333
16,,,,,,,,,,,,,5.27391304347826,5.22173913043478,5.11304347826087,5.12272727272727,4.8,4.9,4.82083333333333,3.63333333333333
17,,,,,,,,,,,,,5.25652173913043,5.16086956521739,4.92173913043478,4.91904761904762,4.7,,4.78333333333333,3.57083333333333
18,,,,,,,,,,,,,5.22608695652174,5.03043478260869,4.84736842105263,4.8,4.8,,4.8,3.67916666666667
19,,,,,,,,,,,,,5.22173913043478,4.95652173913044,4.75,4.75,4.8,,4.79166666666667,3.87083333333333
20,,,,,,,,,,,,,5.09565217391304,4.84782608695652,4.74166666666667,4.7875,4.7,,4.69583333333333,3.99166666666667
21,,,,,,,,,,,,,4.91304347826087,4.76086956521739,4.69047619047619,4.725,4.6,4.6,4.60416666666667,3.875
22,,,,,,,,,,,,,4.8,4.59565217391304,4.69130434782609,4.69166666666667,4.5,4.58,4.52916666666667,3.65
23,,,,,,,,,,,,,4.69130434782609,4.53913043478261,4.62083333333333,4.61304347826087,4.5,4.5,4.5,3.62916666666667
24,,,,,,,,,,,,,4.66086956521739,4.48695652173913,4.52916666666667,4.525,4.4,4.4,4.44583333333334,3.62083333333333
25,,,,,,,,,,,,,4.6,4.48695652173913,4.43809523809524,4.46086956521739,4.4,4.4,4.3875,3.76666666666667
26,,,,,,,,,,,,,4.52608695652174,4.45217391304348,4.4,4.425,4.2,4.3,4.3,3.69583333333333
27,,,,,,,,,,,,,4.5,4.36086956521739,4.4,4.38695652173913,4.3,4.3,4.29583333333333,3.87083333333333
28,,,,,,,,,,,,,4.37826086956522,4.22608695652174,4.29523809523809,4.30952380952381,4.3,4.25,4.2625,3.53333333333333
29,,,,,,,,,,,,,4.21739130434783,4.19565217391305,4.17083333333334,4.19565217391304,4.2,4.16842105263158,4.16666666666667,3.51666666666667
30,,,,,,,,,,,,,4.20434782608696,4.12608695652174,4.10434782608696,4.13636363636364,4.1,4.1,4.09583333333333,3.44583333333333
31,,,,,,,,,,,,,4.14913043478261,4,4.1,4.10833333333333,4.1,4.03888888888889,4.00833333333333,3.40416666666667
32,,,,,,,,,,,,,4.03478260869565,3.91304347826087,4.04166666666667,4.09166666666667,4,3.98666666666667,3.925,3.48333333333333
33,,,,,,,,,,,,,3.99130434782609,3.86521739130435,4.03333333333333,4.06521739130435,4,3.925,3.89583333333333,3.575
34,,,,,,,,,,,,,3.93478260869565,3.89130434782609,4.1,4.03636363636364,3.9,3.89,3.86666666666667,3.64166666666667
35,,,,,,,,,,,,,3.8,3.70869565217391,3.81363636363636,3.77,3.5,3.71875,3.77083333333333,3.2875
36,,,,,,,,,,,,,3.45217391304348,3.47391304347826,3.46666666666667,3.41904761904762,3,3.22631578947369,3.67083333333333,2.97916666666667
37,,,,,,,,,,,,,3.27391304347826,3.26521739130435,3.125,3.0952380952381,2.8,3.12083333333333,3.48333333333333,2.75
38,,,,,,,,,,,,,3.12608695652174,2.99565217391304,2.85454545454545,2.81304347826087,2.7,3.08,3.44166666666667,2.54166666666667
39,,,,,,,,,,,,,3.04347826086957,2.94347826086957,2.79583333333333,2.59565217391304,2.7,3.18333333333333,3.3,2.65833333333333
40,,,,,,,,,,,,,2.8304347826087,2.56521739130435,2.41739130434783,2.43478260869565,2.8,3.09166666666667,3.23333333333333,2.62916666666667
41,,,,,,,,,,,,,2.31739130434783,2.08260869565217,2.35652173913043,2.46666666666667,2.6,2.99583333333333,3.04166666666667,2.4125
42,,,,,,,,,,,,,2.11304347826087,1.87826086956522,2.29565217391304,2.3375,2.4,2.8875,2.9375,2.5
43,,,,,,,,,,,,,1.8695652173913,1.73478260869565,2.21666666666667,2.35,2.7,2.86086956521739,2.96666666666667,2.40869565217391
44,,,,,,,,,,,,,1.80869565217391,1.84782608695652,2.30833333333333,2.32608695652174,2.6,2.80833333333333,3.04166666666667,2.42083333333333
45,,,,,,,,,,,,,1.82608695652174,1.86521739130435,2.2625,2.3875,2.7,2.775,3.02916666666667,2.17083333333333
46,,,,,,,,,,,,,1.8304347826087,1.83043478260869,2.40909090909091,2.53478260869565,2.6,2.8625,3,2.23333333333333
47,,,,,,,,,,,,,2.05652173913044,2.02173913043478,2.67142857142857,2.68636363636364,2.8,2.95416666666667,2.95416666666667,2.2875
48,,,,,,,,,,,,,2.20869565217391,2.15217391304348,2.7625,2.75454545454545,2.8,2.9625,2.88333333333333,2.35416666666667
49,,,,,,,,,,,,,,,2.77727272727273,2.80416666666667,2.8,2.95,2.82916666666667,2.27826086956522
50,,,,,,,,,,,,,,,2.79565217391304,2.88260869565217,2.8,2.89583333333333,2.8625,2.20416666666667
51,,,,,,,,,,,,,,,2.86,2.81666666666667,2.8,2.8875,2.8875,2.19130434782609
52,,,,,,,,,,,,,2.56086956521739,2.48260869565217,2.83181818181818,2.76666666666667,3,2.84166666666667,2.82083333333333,2.2952380952381
53,,,,,,,,,,,,,2.61304347826087,2.59565217391304,2.775,2.84166666666667,2.8,2.9,2.61666666666667,2.15
54,,,,,,,,,,,,,2.6,2.5695652173913,2.85217391304348,2.87272727272727,2.7,2.79583333333333,2.64166666666667,2.29545454545455
55,,,,,,,,,,,,,2.57826086956522,2.52608695652174,2.805,2.82173913043478,2.8,2.775,2.7,2.1304347826087
56,,,,,,,,,,,,,2.53478260869565,2.45217391304348,2.93333333333333,2.7375,2.8,2.71818181818182,2.70416666666667,1.87777777777778
57,,,,,,,,,,,,,2.5304347826087,2.48695652173913,2.72608695652174,2.73181818181818,2.7,2.5875,2.62916666666667,1.99583333333333
58,,,,,,,,,,,,,2.50869565217391,2.46086956521739,2.7125,2.74761904761905,2.6,2.6,2.62083333333333,1.85416666666667
59,,,,,,,,,,,,,2.41695652173913,2.39565217391304,2.78260869565217,2.8,2.5,2.61666666666667,2.60833333333333,1.875
60,,,,,,,,,,,,,2.49565217391304,2.41304347826087,2.84285714285714,2.80434782608696,2.7,2.66666666666667,2.60833333333333,1.94583333333333
61,,,,,,,,,,,,,2.5304347826087,2.40869565217391,2.73809523809524,2.70476190476191,3,2.65416666666667,2.60416666666667,1.86666666666667
62,,,,,,,,,,,,,2.44782608695652,2.44782608695652,2.67916666666667,2.69130434782609,2.9,2.64166666666667,2.55,1.6875
63,,,,,,,,,,,,,2.4304347826087,2.45217391304348,2.67391304347826,2.74347826086956,2.6,2.61666666666667,2.59166666666667,1.675
64,,,,,,,,,,,,,2.48260869565217,2.39130434782609,2.775,2.8,2.6,2.58333333333333,2.5125,1.69166666666667
65,,,,,,,,,,,,,2.42173913043478,2.27826086956522,2.71739130434783,2.67916666666667,2.6,2.43333333333333,2.475,1.74583333333333
66,,,,,,,,,,,,,2.34347826086956,2.30434782608696,2.70833333333333,2.64583333333333,2.6,2.52916666666667,2.25833333333333,1.77083333333333
67,,,,,,,,,,,,,2.44782608695652,2.55652173913044,2.72272727272727,2.7,2.7,2.54166666666667,2.30416666666667,1.86666666666667
68,,,,,,,,,,,,,2.6304347826087,2.61304347826087,2.73333333333333,2.72083333333333,2.6,2.4875,2.2875,1.82608695652174
69,,,,,,,,,,,,,2.69090909090909,2.59545454545455,2.69090909090909,2.75217391304348,2.5,2.43913043478261,2.28333333333333,1.82
70,,,,,,,3.24545454545455,,,,,,2.7,2.5695652173913,2.78636363636364,2.75,2.6,2.325,2.225,1.51666666666667
71,,,2.35384615384615,,,,3.1125,,,,2.35384615384615,,2.70434782608696,2.57826086956522,2.78333333333333,2.73181818181818,2.4,2.3,2.2875,2.17894736842105
72,,3.00909090909091,2.49583333333333,,,3.1,3.26666666666667,,,3.00909090909091,2.49583333333333,,2.86521739130435,2.73478260869565,2.93636363636364,2.775,2.4,2.2875,2.3125,2.00833333333333
73,,3.29166666666667,2.69166666666667,,,3.11666666666667,3.49166666666667,,,3.29166666666667,2.69166666666667,,3.06521739130435,2.80869565217391,2.9625,2.86666666666667,2.5,2.4,2.2875,1.925
74,3.31428571428571,3.45,2.87083333333333,,,3.27916666666667,3.64583333333333,,3.31428571428571,3.45,2.87083333333333,,3.17826086956522,2.95652173913043,3.04782608695652,2.9,2.7,2.475,2.30833333333333,1.96666666666667
75,3.5125,3.62666666666667,3.03333333333333,,,3.42083333333333,3.71666666666667,,3.5125,3.62666666666667,3.03333333333333,,3.31304347826087,3.1,3.07083333333333,2.84166666666667,2.7,2.5125,2.31666666666667,2.26521739130435
76,3.775,3.85,3.16666666666667,,,3.6125,3.925,,3.775,3.85,3.16666666666667,,3.46521739130435,3.27391304347826,3.06666666666667,2.95217391304348,2.9,2.62916666666667,2.32083333333333,2.76666666666667
77,3.97083333333333,3.99375,3.34583333333333,,,3.7875,4.25416666666667,,3.97083333333333,3.99375,3.34583333333333,,3.67391304347826,3.41304347826087,3.23913043478261,3.14090909090909,3,2.675,2.35416666666667,2.875
78,4.2125,4.06666666666667,3.58333333333333,,,3.95,4.68333333333333,4.96428571428571,4.2125,4.06666666666667,3.58333333333333,,3.89565217391304,3.50869565217391,3.44347826086956,3.33478260869565,3.1,2.7,2.3375,2.9875
79,4.43333333333333,4.32916666666667,3.88333333333333,,,4.10833333333333,4.95,5.3,4.43333333333333,4.32916666666667,3.88333333333333,,4.08695652173913,3.63913043478261,3.64347826086957,3.50869565217391,3.3,2.78333333333333,2.3875,3.19166666666667
80,4.55833333333333,4.625,4.12916666666667,,,4.37083333333333,5.31666666666667,5.63333333333333,4.55833333333333,4.625,4.12916666666667,,4.35217391304348,3.77391304347826,3.80416666666667,3.66521739130435,3.3,2.8125,2.4375,3.47916666666667
81,4.76666666666667,4.95833333333333,4.35833333333333,,,5.02083333333333,5.3,6.02083333333333,4.76666666666667,4.95833333333333,4.35833333333333,,4.54583333333333,4,4.00434782608696,3.8125,3.7,2.87083333333333,2.5125,3.25416666666667
82,5.125,5.2,4.5875,,,5.55,5.65,6.4,5.125,5.2,4.5875,,4.67083333333333,4.275,4.2,4.00833333333333,3.5,2.95416666666667,2.575,3.77916666666667
83,5.45833333333333,5.49583333333333,4.86666666666667,,,5.77916666666667,6.0875,6.6625,5.45833333333333,5.49583333333333,4.86666666666667,,4.725,4.42083333333333,4.4,4.10952380952381,3.9,2.99166666666667,2.62083333333333,3.89583333333333
84,5.675,5.6875,5.35416666666667,,,5.95416666666667,6.24583333333333,6.84583333333333,5.675,5.6875,5.35416666666667,,4.825,4.39583333333333,4.38260869565217,4.18260869565218,3.9,3.04166666666667,2.65833333333333,3.925
85,5.81666666666667,5.92916666666666,5.60833333333333,6.15454545454545,6.16,6.2,6.75416666666667,7.05,5.81666666666667,5.92916666666666,5.60833333333333,6.15454545454545,5.1125,4.70416666666667,4.50416666666667,4.31666666666667,3.7,3.1375,2.7,3.99166666666667
86,5.90416666666667,6.14583333333333,5.94166666666667,6.43333333333333,6.35833333333333,6.49166666666666,7,6.75416666666667,5.90416666666667,6.14583333333333,5.94166666666667,6.43333333333333,5.05833333333333,4.79583333333333,4.77272727272727,4.35909090909091,4,3.16666666666667,2.75416666666667,3.6625
87,6.05833333333333,6.275,6.15,6.3,6.55833333333333,6.8625,7.2375,6.75,6.05833333333333,6.275,6.15,6.3,5.3625,5.02916666666667,4.57894736842105,4.43913043478261,3.9,3.2375,2.7875,3.80416666666667
88,6.41666666666667,6.6375,6.2125,6.6625,6.8375,7.15416666666667,7.425,6.95833333333334,6.41666666666667,6.6375,6.2125,6.6625,5.51666666666667,5.08333333333333,4.9,4.55652173913043,4,3.245,2.74166666666667,4.12083333333333
89,6.67083333333333,6.92916666666667,6.6,6.64166666666667,7.24166666666667,7.4,7.34166666666667,6.77916666666667,6.67083333333333,6.92916666666667,6.6,6.64166666666667,5.6875,5.63333333333333,4.95652173913044,4.56666666666667,4.1,3.32941176470588,2.80833333333333,4.54166666666667
90,7.06666666666667,7.10833333333333,6.82916666666667,6.96666666666667,7.59166666666666,7.64166666666666,7.25833333333334,6.97083333333333,7.06666666666667,7.10833333333333,6.82916666666667,6.96666666666667,6.5,5.67,5.03478260869565,4.65217391304348,4.2,3.36842105263158,2.85416666666667,4.67083333333333
91,7.325,7.29166666666667,7.3,7.36666666666667,7.84583333333333,7.6875,7.45,7.33333333333333,7.325,7.29166666666667,7.3,7.36666666666667,6.1125,6.1375,5.15454545454546,4.85652173913044,4.2,3.40625,2.925,5.16666666666667
92,7.49166666666667,7.50833333333333,7.44166666666667,7.6,8.15,7.70416666666667,7.5,7.77083333333334,7.49166666666667,7.50833333333333,7.44166666666667,7.6,6.24166666666667,6.25416666666667,5.23333333333333,4.96086956521739,4.2,3.39166666666667,2.95833333333333,5.00416666666667
93,7.57916666666666,7.65416666666667,7.39583333333334,7.76666666666666,8.35416666666667,8.04782608695652,7.8625,8.06666666666666,7.57916666666666,7.65416666666667,7.39583333333334,7.76666666666666,6.35416666666667,6.10416666666667,5.31818181818182,5.05416666666667,4.2,3.5421052631579,3.025,5.09166666666667
94,7.79166666666667,7.85416666666667,7.49166666666667,7.975,8.4,8.175,7.9,8.30833333333334,7.79166666666667,7.85416666666667,7.49166666666667,7.975,6.42916666666667,6.25,5.54347826086956,5.15652173913044,4.7,3.68947368421053,3.09583333333333,5.60833333333333
95,7.9625,8.02916666666666,8.02083333333334,8.425,8.54166666666666,8.20833333333333,8.17083333333333,8.65833333333333,7.9625,8.02916666666666,8.02083333333334,8.425,6.65416666666667,6.3125,5.66818181818182,5.27727272727273,4.6,,3.15,5.7375
96,8,8.1375,8.05,8.5625,8.65,8.33333333333333,8.49583333333333,8.77083333333333,8,8.1375,8.05,8.5625,6.6625,6.2125,5.59090909090909,5.29166666666667,4.5,3.7,3.16666666666667,5.60416666666667
97,8.075,8.35,8.075,8.4625,8.66666666666666,8.62499999999999,8.7375,8.71666666666667,8.075,8.35,8.075,8.4625,6.64583333333333,6.31666666666667,5.665,5.32916666666667,4.5,3.86666666666667,3.23333333333333,5.6375
98,8.15,8.42916666666667,8.28333333333333,8.46666666666667,8.77083333333334,8.87916666666667,8.99583333333333,8.5875,8.15,8.42916666666667,8.28333333333333,8.46666666666667,6.74583333333333,6.32083333333333,5.67142857142857,5.30869565217391,4.8,3.85,3.3,5.975
99,8.30833333333334,8.62083333333333,8.5875,8.54583333333333,9.02083333333333,9.15833333333333,9.08333333333333,8.00833333333333,8.30833333333334,8.62083333333333,8.5875,8.54583333333333,6.75416666666667,6.24583333333333,5.67727272727273,5.38333333333333,4.8,3.87333333333333,3.35,6.23333333333333
