day,CCIW,TDDO,JHAW,MCPW,IDSW,LMNW,LGSW,LGNW,CCIW,TDDO,JHAW,MCPW,PRXW,WANW,RIGW,RRDW,WELW,CHQW,GCGW,CIBW
1,,6.35416666666667,6.55833333333333,6.09166666666667,5.15,4.6625,4.6,4.4375,,6.35416666666667,6.55833333333333,6.09166666666667,,6.35217391304348,6.23636363636364,6.4,6.2875,,6.62083333333333,4.0625
2,,6.275,6.47083333333333,6.025,5.08333333333333,4.46666666666667,4.52083333333333,4.37083333333334,,6.275,6.47083333333333,6.025,,6.12608695652174,6.05217391304348,6.17826086956522,6.27916666666667,,6.6,4.00833333333333
3,,6.2875,6.34583333333333,5.91666666666667,5.075,4.42916666666667,4.52916666666667,4.43333333333333,,6.2875,6.34583333333333,5.91666666666667,,5.99130434782609,6,6.20909090909091,6.2,,6.5,4.1875
4,,6.26666666666667,6.19166666666667,5.67083333333333,5.09583333333333,4.42916666666667,4.57916666666666,4.4625,,6.26666666666667,6.19166666666667,5.67083333333333,5.83478260869565,5.97391304347826,6.04782608695652,6.2304347826087,6.11666666666666,,6.4625,4.12083333333333
5,,6.225,6.075,5.425,5.00416666666667,4.38333333333333,4.54583333333333,4.40416666666667,,6.225,6.075,5.425,5.83478260869565,5.88260869565218,6.1,6.23181818181818,6.1125,,6.28333333333333,4.1125
6,,6.08333333333333,5.99583333333333,5.35833333333334,4.93333333333333,4.3,4.6,4.375,,6.08333333333333,5.99583333333333,5.35833333333334,5.7304347826087,5.80434782608696,6.07,6.17727272727273,6.17916666666667,,6.12916666666667,4.24166666666667
7,,5.90833333333334,5.8875,5.35416666666667,4.79166666666667,4.20833333333333,4.54166666666667,4.275,,5.90833333333334,5.8875,5.35416666666667,5.58260869565217,5.8,6,6.14347826086956,6.12916666666667,,5.9375,4.07916666666667
8,,5.8,5.74166666666667,5.3,4.65833333333333,4.1,4.43333333333333,4.12083333333333,,5.8,5.74166666666667,5.3,5.46521739130435,5.76521739130435,5.88571428571428,6.05,5.9625,,5.79166666666666,3.88333333333333
9,,5.7,5.63333333333333,5.25833333333333,4.6,4.1125,4.37916666666667,4.0875,,5.7,5.63333333333333,5.25833333333333,5.46086956521739,5.7,5.73636363636363,5.93181818181818,5.8375,,5.6625,3.89166666666667
10,,5.62083333333333,5.6,5.10416666666667,4.60833333333333,4.17083333333333,4.34166666666667,3.91666666666667,,5.62083333333333,5.6,5.10416666666667,5.5,5.63043478260869,5.8,5.9,5.75,,5.54166666666667,3.88333333333333
11,,5.56666666666667,5.53333333333333,4.95833333333334,4.5625,4.1625,4.3,3.7125,,5.56666666666667,5.53333333333333,4.95833333333334,5.46086956521739,5.63913043478261,5.8,5.91818181818182,5.64583333333333,,5.42083333333334,3.94166666666667
12,,5.5,5.43333333333334,4.925,4.4875,4.17916666666667,4.27083333333333,3.6,,5.5,5.43333333333334,4.925,5.44782608695652,5.68695652173913,5.8,5.87142857142857,5.55833333333333,,5.28333333333333,3.94166666666667
13,,5.47916666666667,5.275,5.06666666666666,4.4,4.18333333333333,4.3,3.6,,5.47916666666667,5.275,5.06666666666666,5.46956521739131,5.6,5.73,5.76190476190476,5.4375,,5.1625,4
14,,5.28333333333333,5.1375,5.07083333333333,4.325,4.25833333333334,4.3,3.6,,5.28333333333333,5.1375,5.07083333333333,5.3,5.5695652173913,5.55,5.62,5.22916666666667,,5.00416666666667,3.85
15,,5.02083333333333,5,4.96666666666667,4.2375,4.35833333333334,4.3125,3.63333333333333,,5.02083333333333,5,4.96666666666667,5.24347826086957,5.47391304347826,5.96666666666667,5.45909090909091,4.95416666666667,,4.9,3.78333333333333
16,,4.9,5,4.925,4.2375,4.31666666666667,4.23333333333333,3.6,,4.9,5,4.925,5.22173913043478,5.37391304347826,5.07272727272727,5.2,4.75416666666667,,4.8625,3.63333333333333
