Sector,Source,Year,Energy Use (quadrillion Btu)
Residential,Liquids,2010,8.9839
Residential,Liquids,2011,8.6268
Residential,Liquids,2012,8.615
Residential,Liquids,2013,8.8185
Residential,Liquids,2014,8.7863
Residential,Liquids,2015,8.9399
Residential,Liquids,2016,8.7698
Residential,Liquids,2017,9.0494
Residential,Liquids,2018,8.8831
Residential,Liquids,2019,8.7678
Residential,Liquids,2020,8.651
Residential,Liquids,2021,8.5203
Residential,Liquids,2022,8.4534
Residential,Liquids,2023,8.4107
Residential,Liquids,2024,8.3842
Residential,Liquids,2025,8.3267
Residential,Liquids,2026,8.3208
Residential,Liquids,2027,8.3059
Residential,Liquids,2028,8.3051
Residential,Liquids,2029,8.2986
Residential,Liquids,2030,8.3058
Residential,Liquids,2031,8.3034
Residential,Liquids,2032,8.2911
Residential,Liquids,2033,8.279
Residential,Liquids,2034,8.2796
Residential,Liquids,2035,8.2762
Residential,Liquids,2036,8.272
Residential,Liquids,2037,8.2661
Residential,Liquids,2038,8.2497
Residential,Liquids,2039,8.2623
Residential,Liquids,2040,8.2563
Residential,Liquids,2041,8.257
Residential,Liquids,2042,8.2396
Residential,Liquids,2043,8.2452
Residential,Liquids,2044,8.2309
Residential,Liquids,2045,8.2274
Residential,Liquids,2046,8.2052
Residential,Liquids,2047,8.2128
Residential,Liquids,2048,8.21
Residential,Liquids,2049,8.2024
Residential,Liquids,2050,8.1974
Residential,Natural Gas,2010,20.3511
Residential,Natural Gas,2011,20.3008
Residential,Natural Gas,2012,19.6396
Residential,Natural Gas,2013,20.6791
Residential,Natural Gas,2014,20.3006
Residential,Natural Gas,2015,19.9221
Residential,Natural Gas,2016,20.2256
Residential,Natural Gas,2017,20.6112
Residential,Natural Gas,2018,21.3124
Residential,Natural Gas,2019,21.5178
Residential,Natural Gas,2020,21.5054
Residential,Natural Gas,2021,21.6016
Residential,Natural Gas,2022,21.7092
Residential,Natural Gas,2023,21.8477
Residential,Natural Gas,2024,22.0073
Residential,Natural Gas,2025,22.1467
Residential,Natural Gas,2026,22.3604
Residential,Natural Gas,2027,22.5204
Residential,Natural Gas,2028,22.6916
Residential,Natural Gas,2029,22.9082
Residential,Natural Gas,2030,23.0959
Residential,Natural Gas,2031,23.237
Residential,Natural Gas,2032,23.3993
Residential,Natural Gas,2033,23.565
Residential,Natural Gas,2034,23.7484
Residential,Natural Gas,2035,23.9038
Residential,Natural Gas,2036,24.1025
Residential,Natural Gas,2037,24.296
Residential,Natural Gas,2038,24.505
Residential,Natural Gas,2039,24.6532
Residential,Natural Gas,2040,24.8701
Residential,Natural Gas,2041,25.0548
Residential,Natural Gas,2042,25.2437
Residential,Natural Gas,2043,25.4481
Residential,Natural Gas,2044,25.6431
Residential,Natural Gas,2045,25.8149
Residential,Natural Gas,2046,26.0029
Residential,Natural Gas,2047,26.1772
Residential,Natural Gas,2048,26.3683
Residential,Natural Gas,2049,26.5076
Residential,Natural Gas,2050,26.7174
Residential,Coal,2010,4.3716
Residential,Coal,2011,4.4247
Residential,Coal,2012,4.6623
Residential,Coal,2013,4.4728
Residential,Coal,2014,4.3936
Residential,Coal,2015,4.3364
Residential,Coal,2016,4.1996
Residential,Coal,2017,3.9074
Residential,Coal,2018,3.8407
Residential,Coal,2019,3.7776
Residential,Coal,2020,3.7234
Residential,Coal,2021,3.6634
Residential,Coal,2022,3.6192
Residential,Coal,2023,3.5794
Residential,Coal,2024,3.5399
Residential,Coal,2025,3.5048
Residential,Coal,2026,3.4706
Residential,Coal,2027,3.4395
Residential,Coal,2028,3.4019
Residential,Coal,2029,3.3661
Residential,Coal,2030,3.332
Residential,Coal,2031,3.3004
Residential,Coal,2032,3.268
Residential,Coal,2033,3.238
Residential,Coal,2034,3.2083
Residential,Coal,2035,3.1817
Residential,Coal,2036,3.1566
Residential,Coal,2037,3.1295
Residential,Coal,2038,3.1026
Residential,Coal,2039,3.0795
Residential,Coal,2040,3.0539
Residential,Coal,2041,3.0334
Residential,Coal,2042,3.0115
Residential,Coal,2043,2.9946
Residential,Coal,2044,2.9786
Residential,Coal,2045,2.9649
Residential,Coal,2046,2.9438
Residential,Coal,2047,2.9243
Residential,Coal,2048,2.9065
Residential,Coal,2049,2.8885
Residential,Coal,2050,2.8727
Residential,Electricity,2010,17.8249
Residential,Electricity,2011,18.0215
Residential,Electricity,2012,18.4112
Residential,Electricity,2013,19.1342
Residential,Electricity,2014,19.5067
Residential,Electricity,2015,20.2682
Residential,Electricity,2016,21.048
Residential,Electricity,2017,22.1173
Residential,Electricity,2018,23.0272
Residential,Electricity,2019,23.5229
Residential,Electricity,2020,24.0874
Residential,Electricity,2021,24.6547
Residential,Electricity,2022,25.2433
