Entity,Code,Year,Energy use (kg of oil equivalent per capita) (kWh)
Albania,ALB,1971,9131.428546616247
Albania,ALB,1972,10066.840556437759
Albania,ALB,1973,8870.495956899129
Albania,ALB,1974,9035.751130578645
Albania,ALB,1975,9617.452702497598
Albania,ALB,1976,10361.78757515682
Albania,ALB,1977,10742.966729075184
Albania,ALB,1978,11755.82754476733
Albania,ALB,1979,10050.639716376001
Albania,ALB,1980,13369.104796899144
Albania,ALB,1981,11504.397726972591
Albania,ALB,1982,11242.526590376392
Albania,ALB,1983,11631.419010815864
Albania,ALB,1984,11842.400344439491
Albania,ALB,1985,10659.53686670296
Albania,ALB,1986,11210.472981355677
Albania,ALB,1987,10721.616101932643
Albania,ALB,1988,10789.668752800464
Albania,ALB,1989,10425.571176442707
Albania,ALB,1990,9458.16373866514
Albania,ALB,1991,6661.452845147677
Albania,ALB,1992,4864.673504075562
Albania,ALB,1993,4795.96637981066
Albania,ALB,1994,5131.729305610287
Albania,ALB,1995,4850.115224243551
Albania,ALB,1996,5208.482361137024
Albania,ALB,1997,4472.839365355257
Albania,ALB,1998,4962.321185988311
Albania,ALB,1999,6701.015643445754
Albania,ALB,2000,6751.154107749787
Albania,ALB,2001,6946.194888328211
Albania,ALB,2002,7676.358055201394
Albania,ALB,2003,7538.198341501032
Albania,ALB,2004,8320.270438221587
Albania,ALB,2005,8368.766317105139
Albania,ALB,2006,8220.774911805896
Albania,ALB,2007,7906.792328124724
Albania,ALB,2008,8266.005037128727
Albania,ALB,2009,8516.843009387812
Albania,ALB,2010,8480.065354832665
Albania,ALB,2011,8896.585010644729
Albania,ALB,2012,8000.2335021950375
Albania,ALB,2013,9319.467609319503
Albania,ALB,2014,9402.34141450083
Algeria,DZA,1971,2693.274589777384
Algeria,DZA,1972,3040.8412617391336
Algeria,DZA,1973,3548.630908375803
Algeria,DZA,1974,3712.5569379618337
Algeria,DZA,1975,3842.5176791399736
Algeria,DZA,1976,4262.6496565870875
Algeria,DZA,1977,4636.370599650064
Algeria,DZA,1978,5544.932376567387
Algeria,DZA,1979,6819.1493228872705
Algeria,DZA,1980,6739.021568473833
Algeria,DZA,1981,7104.006385185787
Algeria,DZA,1982,8969.468837538025
Algeria,DZA,1983,9395.21481830213
Algeria,DZA,1984,9028.80613247929
Algeria,DZA,1985,9144.971475329703
Algeria,DZA,1986,10029.876646166349
Algeria,DZA,1987,9624.43243525967
Algeria,DZA,1988,9882.09387946042
Algeria,DZA,1989,9540.210863059752
Algeria,DZA,1990,9957.12772553738
Algeria,DZA,1991,10277.725956472112
Algeria,DZA,1992,10277.899190150329
Algeria,DZA,1993,10089.900744105209
Algeria,DZA,1994,9528.052276382983
Algeria,DZA,1995,9754.881003856244
Algeria,DZA,1996,9282.424442006612
Algeria,DZA,1997,9360.595643119032
Algeria,DZA,1998,9544.1313349551
Algeria,DZA,1999,10045.845245794388
Algeria,DZA,2000,10067.695125908895
Algeria,DZA,2001,9957.754209407638
Algeria,DZA,2002,10517.296124531278
Algeria,DZA,2003,11036.398825756982
Algeria,DZA,2004,11028.010133137195
Algeria,DZA,2005,11326.212163100361
Algeria,DZA,2006,11952.575102696492
Algeria,DZA,2007,12490.616058693253
Algeria,DZA,2008,12434.798509439643
Algeria,DZA,2009,13367.22177305655
Algeria,DZA,2010,12908.049316460036
Algeria,DZA,2011,13208.708064067456
Algeria,DZA,2012,14230.372525874378
Algeria,DZA,2013,14433.276093662525
Algeria,DZA,2014,15364.387111365353
Angola,AGO,1971,6464.914129940671
Angola,AGO,1972,6795.585206080933
Angola,AGO,1973,6600.737217571952
Angola,AGO,1974,6566.0455641690305
Angola,AGO,1975,6238.380842954463
Angola,AGO,1976,5994.661562331942
Angola,AGO,1977,5742.919925598221
Angola,AGO,1978,6132.7984740477905
Angola,AGO,1979,6026.932228712974
Angola,AGO,1980,5942.771241559251
Angola,AGO,1981,5778.407892384093
Angola,AGO,1982,5499.004620672013
Angola,AGO,1983,5453.087526413271
Angola,AGO,1984,5323.990444591548
Angola,AGO,1985,5470.443566912071
Angola,AGO,1986,5375.368640358967
Angola,AGO,1987,5359.316633369782
Angola,AGO,1988,5433.700794547983
Angola,AGO,1989,5407.661684635226
Angola,AGO,1990,5621.446489368022
