,"Resampled, Randomized Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data Without Resampling or Randomization (original study data, after harmonizing methodology)",,,,,,,,,,,
,Land Use (m2/FU),,,,,,"GHG Emissions (kg CO2eq/FU, IPCC 2013 incl. CC feedbacks)",,,,,,"GHG Emissions (kg CO2eq/FU, IPCC 2007)",,,,,,"Acidifying Emissions (g SO2eq/FU, CML2 Baseline)",,,,,,"Eutrophying Emissions (g PO43-eq/FU, CML2 Baseline)",,,,,,Freshwater Withdrawals (L/FU),,,,,,Stress-Weighted Water Use (L/FU),,,,,,Land Use (m2/FU),,"GHG (kg CO2eq/FU, IPCC 2013 incl. CC feedbacks)",,"Acid. (kg SO2eq/FU, CML2 Baseline)",,"Eutr. (kg PO43-eq/FU, CML2 Baseline)",,Fresh W. (L/FU),,Strs. W. WU (L/FU),
Product,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max
Wheat & Rye (Bread),1,1.1,3.9,2.7,7.9,10,0.7,0.8,1.6,1.3,2.3,3.1,0.7,0.8,1.6,1.3,2.4,3.1,5.9,6.7,13.4,13.3,20.2,25,1,2.3,7.2,5.4,13.4,18.2,2,2,648,419,1081,3369,3,5,33386,12822,54986,225768,0.4,36.5,0.4,56,3.4,33.5,0.2,77.4,1,8675,1,333260
Maize (Meal),1,1.1,2.9,1.8,5.7,9,0.7,0.7,1.7,1.2,2.3,3.5,0.7,0.7,1.7,1.2,2.3,3.5,5.6,5.9,11.7,10.2,20.9,22.8,1.2,1.3,4,2.4,8.1,12.6,0,0,216,44,531,598,0,0,10863,350,24375,28215,0.5,28.9,0.5,72.3,2.9,25.5,0.8,20.8,0,7191,0,461216
Barley (Beer),0.2,0.3,1.1,0.9,2.4,2.9,0.6,0.7,1.2,1.2,1.6,1.8,0.6,0.7,1.2,1.2,1.6,1.8,5.2,5.4,6.6,6.1,7.5,8.2,1.1,1.2,2.3,1.8,3.8,4.8,6,7,17,7,11,48,8,10,696,27,291,1621,0.2,3.8,0.4,2.6,4.8,38.4,1,12.4,6,569,4,41484
Oatmeal,2.6,2.9,7.6,7.7,12.9,14,0.8,0.9,2.5,2.6,4.1,4.3,0.8,0.9,2.5,2.6,4.1,4.3,6.2,7.5,10.7,9.6,14.8,17.4,5.8,6.7,11.2,10.1,16.3,24.3,0,0,482,670,804,850,0,0,18786,24456,29352,31015,2.6,12.4,0.8,4.3,4.8,28.6,3.4,25.4,0,1791,0,105304
Rice,1,1.1,2.8,2.2,6.2,7.2,1.2,1.5,4.5,3.7,8.8,10.3,1.1,1.3,3.8,3.1,7.4,8.5,8.8,9.8,27.2,18.6,62.8,75,2.9,3.4,35.1,9.3,135.8,156,0,0,2248,1575,3936,10574,0,2,49576,4626,115317,191274,1,8.1,1.1,14.4,5.9,88.9,2.1,172.1,0,12407,0,832397
Potatoes,0.4,0.4,0.9,0.8,1.4,1.7,0.1,0.2,0.5,0.5,0.6,0.7,0.1,0.2,0.5,0.5,0.6,0.7,2.3,2.6,3.9,3.6,5.3,6.9,0.6,0.6,3.5,4.4,6.1,6.2,0,1,59,3,133,236,0,8,2754,78,8910,8978,0.2,4,0.1,1.6,2.1,10.9,0.6,12.1,0,834,0,40554
Cassava,0.7,0.8,1.8,1.3,3.2,3.3,0.3,0.4,1.3,1.1,2.1,2.2,0.3,0.3,1.3,1,2.1,2.2,2.6,2.7,3.4,3.2,4.8,5.1,0.5,0.5,0.7,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,9.3,0.2,36.2,2.6,5.8,0.5,0.8,0,0,0,0
Cane Sugar,1.1,1.2,2,1.8,3.1,3.5,0.6,0.9,3.2,3.2,5.1,5.6,0.6,0.9,3.2,3.2,5.1,5.6,5.4,7.9,18,18,28.1,30.8,3.3,4,16.9,11.2,40.9,42.2,7,8,620,8,2520,3567,14,15,16439,15,34108,34891,0.8,34.8,0.6,47.6,5,38,2.5,133.7,7,7770,9,359239
Beet Sugar,1.1,1.2,1.8,1.5,3.1,3.3,1,1.2,1.8,1.8,2.4,2.6,1,1.2,1.8,1.8,2.4,2.7,4.4,4.4,12.6,12.4,18.3,20.6,2.1,2.1,5.4,4.3,14.1,16.9,10,12,218,12,506,1656,12,15,9493,115,22816,76242,0.7,4.5,0.9,3.5,4.4,68.6,2.1,16.6,10,1900,10,87129
Other Pulses,4.1,9.9,15.6,12.2,41.3,41.9,0.9,1,1.8,1.4,3.8,4,0.9,1,1.8,1.4,3.7,4,5.7,10.9,22.1,19,33.8,36.7,1.6,1.6,17.1,13.8,46.6,50.2,0,0,436,0,1250,2201,0,0,22477,0,45615,106154,1,41.7,0.7,5.3,3.9,36.8,0.8,48.9,0,7538,0,432637
Peas,2.3,2.8,7.5,6.7,14.2,20.5,0.5,0.6,1,0.8,1.7,1.9,0.5,0.6,1,0.8,1.7,1.9,3.2,3.6,8.5,10.3,10.9,11.1,0.7,0.8,7.5,1.7,33.6,33.7,0,0,397,0,3100,3584,0,0,27948,0,228332,263997,1.8,21.9,0.4,2.3,3.1,20.6,0.8,33.6,0,4051,0,302950
Nuts,4.2,4.5,13,8.7,26.6,26.6,-4,-3.7,0.4,-1.3,3.8,10.8,-4,-3.7,0.4,-1.3,3.8,10.2,19.1,20.6,45.2,35,67,95.9,6.6,8,19.2,14.5,40,47.2,0,0,4134,1823,9107,11384,0,0,229890,129364,646135,807659,3.8,46,-8.1,23.7,10.9,119.2,5.3,90.7,0,11384,0,807659
Groundnuts,4.2,4.7,9.1,7.9,15.4,15.4,1.4,1.6,3.2,3.3,5.8,6.2,1.4,1.6,3.2,3.3,5.8,6.1,10.1,10.4,22.6,16.4,55.7,56.8,5.7,5.8,14.1,17.1,19.7,21,54,694,1852,900,6525,6525,2377,2435,61798,44352,195135,195135,4.2,15.4,1.3,6.2,9.2,57,5.1,19.7,0,6525,0,195135
Soymilk,0.3,0.3,0.7,0.6,0.9,1.1,0.5,0.6,1,0.9,1.5,1.7,0.5,0.6,1,0.9,1.5,1.7,2.1,2.2,2.6,2.5,3.1,3.3,0.5,0.5,1.1,1.2,1.6,1.6,1,1,28,1,146,159,2,2,956,6,5301,5769,0.3,1.7,0.7,1.9,3.2,4.8,0.5,4.3,1,209,1,19425
Tofu,1.6,1.8,3.5,3.4,4.9,5.9,1.4,1.6,3.2,2.6,5.6,7.3,1.4,1.6,3.1,2.6,5.5,7.2,5,5.1,6.7,6,9,9.9,2.9,2.9,6.2,6.6,9.1,10.3,6,6,149,7,778,864,12,12,5113,32,28227,31484,1.5,9,1.7,8.1,8.8,17.4,2.9,23.1,6,1124,5,104435
Soybean Oil,4.8,5.3,10.5,9.6,14.6,17.5,2.2,2.4,6.3,3.9,13.4,18.8,2.2,2.4,6.2,3.8,12.8,18.6,11.2,11.6,15.7,15,20.4,23,2.6,2.6,11.7,14.4,20.2,20.9,2,2,415,2,2245,2487,3,3,14888,8,81881,90941,4.4,135.1,2.2,21.3,11.4,36.2,2.6,61.1,1,3294,1,307032
Palm Oil,1.4,1.7,2.4,2.4,3,3.3,2.8,3.6,7.3,7.2,12,13.1,2.4,3.4,7.2,7,12,13,7.5,14.6,17.5,17.7,22.1,22.9,2,5.2,10.7,10.3,17.1,17.1,6,6,6,6,6,7,4,4,36,35,67,67,1.4,4.7,-0.3,14.2,6.8,22.5,1.9,17.1,6,7,4,67
Sunflower Oil,7.5,8.4,17.7,16.3,27,29.7,2.2,2.5,3.6,3.5,4.6,4.9,2.2,2.4,3.6,3.5,4.6,4.9,10.4,10.8,28,19.3,61.2,67.2,10.1,11.7,50.7,18.9,175.7,175.7,3,3,1008,10,3841,4037,2,6,36369,237,158308,178519,6.3,70,2.1,7.7,8.7,66.3,7.5,175.7,3,5977,2,519841
Rapeseed Oil,5,5.2,10.6,9.4,19,21,2.2,2.5,3.8,3.5,4.6,7.2,2.2,2.5,3.8,3.5,4.7,7.5,14.7,15.1,28.5,23.2,49.5,61.1,6.4,7.2,19.2,16.4,35.5,55.7,1,1,238,1,764,778,2,3,10594,14,34755,35400,4.7,64,2,13.6,12,190.8,3.3,66.6,1,12110,1,1044365
Olive Oil,7.9,7.9,26.3,17.3,36.3,36.3,2.1,2.9,5.4,5.1,7.6,10.8,2.1,2.9,5.3,5,7.7,10.7,18.8,27.5,37.6,33.9,57.9,62,5.8,17.1,37.3,39.1,56.3,61.2,9,9,2142,318,6908,6908,130,130,177480,24396,621152,621152,5.8,233.3,1.9,20.3,9.8,111.8,3.2,63.7,3,6908,130,621152
Tomatoes,0.1,0.1,0.8,0.2,0.9,5.6,0.4,0.4,2.1,0.7,6,12.6,0.4,0.4,2,0.7,5.2,12.3,2.9,3.2,17.2,5.2,68,83.4,0.6,0.8,7.5,1.9,32.1,39.5,33,48,370,77,1334,1994,270,385,5336,4481,8959,11842,0,13.8,0.2,29,2.9,240.6,0.3,116.3,4,4542,13,24103
Onions & Leeks,0.1,0.1,0.4,0.3,0.6,0.6,0.3,0.3,0.5,0.4,0.8,0.8,0.3,0.3,0.5,0.4,0.8,0.8,2.7,2.8,3.6,3.3,4.9,5,1,1.5,3.2,1.6,7.5,7.5,1,1,14,2,72,76,48,48,932,57,5007,5222,0.1,1.4,0.2,0.9,2.5,4.8,0.7,7.4,0,75,0,5222
Root Vegetables,0.2,0.2,0.3,0.3,0.3,0.5,0.2,0.2,0.4,0.4,0.6,0.6,0.2,0.2,0.4,0.4,0.6,0.6,2.2,2.4,2.9,2.9,3.3,3.4,0.5,0.5,1.6,1,2.5,9.3,0,0,28,10,92,93,0,0,929,38,6785,6826,0.2,2.4,0.2,1.5,2.3,4.3,0.5,9.9,0,93,0,6816
Brassicas,0.2,0.2,0.6,0.3,0.8,2.3,0.2,0.2,0.5,0.4,1,1.2,0.2,0.2,0.5,0.4,1,1.2,3.9,4.5,8.2,8.8,10.8,11.3,1.2,1.6,5,5.7,7.8,8.1,0,0,119,55,253,642,0,0,8455,2483,19799,60921,0.1,4,0.2,2.4,1.9,10.6,0.9,6.6,0,656,0,62329
Other Vegetables,0.2,0.2,0.4,0.2,0.8,1.1,0.2,0.2,0.5,0.4,1,1.1,0.2,0.2,0.5,0.4,1,1.1,2.6,2.9,6.4,3.7,6.6,9.7,0.9,1.1,2.3,1.8,2.5,4.9,56,56,103,81,168,360,900,2568,4911,2940,11098,14549,0,3.7,0.1,12.3,1.5,62.9,0.3,15.5,0,1436,0,78312
Citrus Fruit,0.3,0.4,0.9,0.7,1.8,1.8,0,0.1,0.4,0.3,0.6,0.7,0,0.1,0.4,0.3,0.6,0.7,2.2,2.6,4,3.8,6,6.2,0.3,0.3,2.2,1.7,6.5,6.5,0,0,83,37,185,245,0,0,4663,1346,17561,21647,0.3,1.8,0,2.7,1.7,6.4,0.3,6.5,0,518,0,46579
