Kingdom,Phylum,Class,Extinctions,Total Species Assessed in IUCN,Modern Extinction Rate (E/MSY),Background Extinction Rate (E/MSY),Extinction Number (Modern/ Background),Estimated total species currently extant in taxon,Extinctions/Year,
Animalia,-,-,793,75409,2.60E+01,0.1,2.60E+02,8.00E+06,2.00E+02,
Animalia,Chordata,Mammalia,83,5851,3.50E+01,2,1.80E+01,7.00E+03,2.00E-01,
Animalia,Chordata,Aves,164,11147,3.70E+01,2,1.80E+01,2.00E+04,7.00E-01,
Animalia,Chordata,Reptilia,33,7830,1.10E+01,2,5.30E+00,-,-,
Animalia,Chordata,Amphibia,35,6824,1.30E+01,2,6.40E+00,-,-,
Animalia,Chordata,Actinopterygii,74,19097,9.70E+00,2,4.80E+00,-,-,
Animalia,Chordata,Chondrichthyes,0,1124,0.00E+00,2,0.00E+00,-,-,
Animalia,Arthopoda,-,86,13170,1.60E+01,0.1,1.60E+02,-,-,
Animalia,Mollusca,-,313,8748,8.90E+01,0.1,8.90E+02,-,-,
Plantae,-,-,160,40468,9.90E+00,0.1,9.90E+01,4.00E+05,4.00E+00,
Plantae,Tracheophyta,Magnoliopsida,133,31275,1.10E+01,0.1,1.10E+02,-,-,
Plantae,Tracheophyta,Liliopsida,15,7170,5.20E+00,0.1,5.20E+01,-,-,
Fungi,-,-,0,285,0,-,0,-,-,
