Product,Land Use (m² /kg),Land Use (m² /1000kcal),Land Use (m² /100g protein)
Lamb & Mutton,369.81,116.659306,184.8125937
Beef (beef herd),326.21,119.4908425,163.5957874
Cheese,87.79,22.68475452,39.75996377
Dark Chocolate,68.96,13.3384913,137.92
Beef (dairy herd),43.24,15.83882784,21.9047619
Olive Oil,26.31,2.976244344,_
Coffee,21.62,38.60714286,27.025
Sunflower Oil,17.66,1.997737557,_
Pig Meat,17.36,7.263598326,10.72929543
Other Pulses,15.57,4.565982405,7.272302662
Nuts,12.96,2.107317073,7.936313533
Poultry Meat,12.22,6.605405405,7.055427252
Rapeseed Oil,10.63,1.202488688,_
Soybean Oil,10.52,_,_
Groundnuts,9.11,1.570689655,3.479755539
Milk,8.95,14.91666667,27.12121212
Fish (farmed),8.41,4.698324022,3.687787766
Oatmeal,7.6,2.897445673,5.846153846
Peas,7.46,2.156069364,_
Eggs,6.27,4.354166667,5.650684932
Grains,_,_,4.6
Wheat & Rye,3.85,1.439074806,3.155737705
Tofu (soybeans),3.52,1.298892989,2.2
Prawns (farmed),2.97,2.883495146,2.010832769
Maize,2.94,0.650082919,3.094736842
Rice,2.8,0.759631036,3.943661972
Palm Oil,2.42,0.273755656,_
Berries & Grapes,2.41,4.228070175,24.1
Cane Sugar,2.04,0.581196581,_
Bananas,1.93,3.216666667,21.44444444
Beet Sugar,1.83,0.521367521,_
Cassava,1.81,1.858316222,20.11111111
Wine,1.78,_,_
Barley,1.11,0.222,_
Other Fruit,0.89,_,_
Potatoes,0.88,1.202185792,5.176470588
Citrus Fruit,0.86,2.6875,14.33333333
Tomatoes,0.8,4.210526316,7.272727273
Soymilk,0.66,_,_
Apples,0.63,1.3125,21
Brassicas,0.55,3.235294118,5
Onions & Leeks,0.39,1.054054054,3
Other Vegetables,0.38,_,3.357335734
Root Vegetables,0.33,0.891891892,3.3
