Entity,Code,Year,Land use per 1000kcal (m² per 1000kcal)
Apples,,2018,1.3125
Bananas,,2018,3.216666667
Barley,,2018,0.222
Beef (beef herd),,2018,119.4908425
Beef (dairy herd),,2018,15.83882784
Beet Sugar,,2018,0.521367521
Berries & Grapes,,2018,4.228070175
Brassicas,,2018,3.235294118
Cane Sugar,,2018,0.581196581
Cassava,,2018,1.858316222
Cheese,,2018,22.68475452
Citrus Fruit,,2018,2.6875
Coffee,,2018,38.60714286
Dark Chocolate,,2018,13.3384913
Eggs,,2018,4.354166667
Fish (farmed),,2018,4.698324022
Groundnuts,,2018,1.570689655
Lamb & Mutton,,2018,116.659306
Maize,,2018,0.650082919
Milk,,2018,14.91666667
Nuts,,2018,2.107317073
Oatmeal,,2018,2.897445673
Olive Oil,,2018,2.976244344
Onions & Leeks,,2018,1.054054054
Other Pulses,,2018,4.565982405
Palm Oil,,2018,0.273755656
Peas,,2018,2.156069364
Pig Meat,,2018,7.263598326
Potatoes,,2018,1.202185792
Poultry Meat,,2018,6.605405405
Prawns (farmed),,2018,2.883495146
Rapeseed Oil,,2018,1.202488688
Rice,,2018,0.759631036
Root Vegetables,,2018,0.891891892
Sunflower Oil,,2018,1.997737557
Tofu (soybeans),,2018,1.298892989
Tomatoes,,2018,4.210526316
Wheat & Rye,,2018,1.439074806
