studyName,Ship,"Event Index","Event Number","Tow Number","Datetime PST","Grid Line","Grid Station","Latitude (º)","Longitude (º)",Net,"Mesh Size (?)","Microplastic Abundance","Microplastic Mass (mg/m³)","Halobates Abundance","Halobates Egg Abundance","Microplastic Abundance m2","Microplastic Mass m2 (mg/m²)","Zooplankton Mass m2 (mg/m²)",Notes
"STAR 9910",,,,,"1999-09-21 20:50:00",265.1,84.9,1.266,-102.9,manta,505,0.016,0.014,,,,,,
"STAR 9910",,,,,"1999-09-22 20:36:00",273.1,10,2.9,-96.583,manta,505,0.013,0.02,,,,,,
"STAR 9910",,,,,"1999-10-10 20:51:00",292.9,144,4.083,-87,manta,505,0.019,0.011,,,,,,
"STAR 9910",,,,,"1999-10-11 20:52:00",300,102.6,1.466,-88.683,manta,505,0,0,,,,,,
"STAR 9910",,,,,"1999-11-10 21:02:00",304.2,123.9,1.45,-87.033,manta,505,0.006,0.001,,,,,,
SEAPLEX-0908NH,,U1,4,,"2009-08-02 14:23:00",,,32.5597,-118.1644,manta,333,0.009,0.014,-9999,-9999,0.002,0.002,0.373,
SEAPLEX-0908NH,,U2,6,,"2009-08-02 20:10:00",,,32.4783,-119.1433,manta,333,0.123,0.009,-9999,-9999,0.025,0.001,0.671,
SEAPLEX-0908NH,,S1,14,,"2009-08-03 04:37:00",,,32.4016,-119.9918,manta,333,0.035,0.099,-9999,-9999,0.007,0.013,2.597,
SEAPLEX-0908NH,,S1,18,,"2009-08-03 09:25:00",,,32.4243,-119.9639,manta,333,0.042,0.034,-9999,-9999,0.008,0.004,0.565,
SEAPLEX-0908NH,,S1,22,,"2009-08-03 11:09:00",,,32.422,-119.9844,manta,333,0.115,0.03,-9999,-9999,0.023,0.004,1.738,
SEAPLEX-0908NH,,S1,26,,"2009-08-03 12:35:00",,,32.4016,-119.9682,manta,333,0.035,0.011,-9999,-9999,0.007,0.001,1.397,
SEAPLEX-0908NH,,S1,32,,"2009-08-03 16:41:00",,,32.4061,-119.938,manta,333,0.022,0.014,-9999,-9999,0.004,0.002,1.056,
SEAPLEX-0908NH,,S1,36,,"2009-08-03 17:36:00",,,32.4129,-119.961,manta,333,0.097,0.009,-9999,-9999,0.019,0.001,0.787,
SEAPLEX-0908NH,,S1,40,,"2009-08-03 18:29:00",,,32.4112,-119.9804,manta,333,0,0,-9999,-9999,0,0,0.59,
SEAPLEX-0908NH,,S1,44,,"2009-08-03 21:37:00",,,32.4279,-120.0601,manta,333,0.036,0.011,-9999,-9999,0.007,0.001,0.346,
SEAPLEX-0908NH,,U3,52,,"2009-08-04 08:07:00",,,32.3786,-121.2014,manta,333,0.061,0.005,-9999,-9999,0.012,0.001,0.679,
SEAPLEX-0908NH,,U4,56,,"2009-08-04 14:06:00",,,32.3607,-122.3124,manta,333,0,0,0,0,0,0,23.85,
SEAPLEX-0908NH,,U5,62,,"2009-08-04 20:19:00",,,32.3457,-123.3533,manta,333,0.022,0.001,0.022,0,0.004,0,0.518,
SEAPLEX-0908NH,,U6,64,,"2009-08-05 02:07:00",,,32.328,-124.3471,manta,333,0.165,0.024,0.037,0,0.033,0.003,0.491,
SEAPLEX-0908NH,,U7,68,,"2009-08-05 08:07:00",,,32.3087,-125.2308,manta,333,0.074,0.01,0,0,0.015,0.001,0.409,
SEAPLEX-0908NH,,U8,72,,"2009-08-05 13:59:00",,,32.2885,-126.2803,manta,333,0.095,0.063,0,0.008,0.019,0.008,0.384,
SEAPLEX-0908NH,,U9,78,,"2009-08-05 20:24:00",,,32.2584,-127.3653,manta,333,0.159,0.107,0.072,0.007,0.032,0.016,20.182,
SEAPLEX-0908NH,,U10,80,,"2009-08-06 02:03:00",,,32.2454,-128.3595,manta,333,0.27,1.145,0,0.024,0.054,0.143,0.534,
SEAPLEX-0908NH,,U11,84,,"2009-08-06 08:02:00",,,32.2225,-129.1759,manta,333,0.106,0.273,-9999,-9999,0.021,0.036,1.31,
SEAPLEX-0908NH,,U12,90,,"2009-08-06 14:23:00",,,32.2103,-130.245,manta,333,1.203,2.115,0,0,0.241,0.264,0.687,
SEAPLEX-0908NH,,U13,94,,"2009-08-06 21:00:00",,,32.1763,-131.4177,manta,333,0.165,0.381,0,0,0.033,0.043,0.706,
SEAPLEX-0908NH,,U14,96,,"2009-08-07 02:05:00",,,32.1733,-132.3321,manta,333,0.837,0.847,0.01,0.017,0.167,0.098,21.807,
SEAPLEX-0908NH,,U15,100,,"2009-08-07 08:02:00",,,32.1439,-133.1823,manta,333,0.209,1.089,0,0.025,0.042,0.133,0.959,
SEAPLEX-0908NH,,U16,104,,"2009-08-07 14:05:00",,,32.1206,-134.2315,manta,333,19.953,5.777,0,0.18,3.991,0.704,0.654,
SEAPLEX-0908NH,,U17,108,,"2009-08-07 21:02:00",,,32.1014,-135.4803,manta,333,3.907,1.83,0.034,0.073,0.781,0.252,0.284,
SEAPLEX-0908NH,,U18,110,,"2009-08-08 02:05:00",,,32.0809,-136.3499,manta,333,1.137,0.362,0.009,0.06,0.227,0.048,0.826,
SEAPLEX-0908NH,,U19,114,,"2009-08-08 08:02:00",,,32.0683,-137.2199,manta,333,0.349,0.332,0,0,0.07,0.041,0.115,
SEAPLEX-0908NH,,U20,118,,"2009-08-08 11:04:00",,,32.0517,-137.7057,manta,333,3.381,10.626,0,0,0.676,1.254,0.207,
SEAPLEX-0908NH,,S2,122,,"2009-08-08 12:53:00",,,32.0429,-137.9278,manta,333,2.405,2.946,-9999,-9999,0.481,0.35,0.392,
SEAPLEX-0908NH,,S2,132,,"2009-08-08 18:08:00",,,32.039,-137.9334,manta,333,2.311,2.961,-9999,-9999,0.462,0.361,0.204,
SEAPLEX-0908NH,,S2,148,,"2009-08-09 03:59:00",,,32.0494,-137.9246,manta,333,1.201,12.781,-9999,-9999,0.24,1.485,0.153,
SEAPLEX-0908NH,,S2,150,,"2009-08-09 04:19:00",,,32.0564,-137.9218,manta,333,0.767,0.817,-9999,-9999,0.153,0.09,0.081,
SEAPLEX-0908NH,,S2,154,,"2009-08-09 08:07:00",,,32.0508,-137.9166,manta,333,2.317,7.665,-9999,-9999,0.463,1.062,0.047,
SEAPLEX-0908NH,,S2,156,,"2009-08-09 08:27:00",,,32.0565,-137.91,manta,333,2.611,22.587,-9999,-9999,0.522,3.139,0.16,
