studyName,Ship,"Event Index","Event Number","Tow Number","Datetime PST","Grid Line","Grid Station","Latitude (º)","Longitude (º)",Net,"Mesh Size (?)","Microplastic Abundance","Microplastic Mass (mg/m³)","Halobates Abundance","Halobates Egg Abundance","Microplastic Abundance m2","Microplastic Mass m2 (mg/m²)","Zooplankton Mass m2 (mg/m²)",Notes
SEAPLEX-0908NH,,S2,164,,"2009-08-09 11:06:00",,,32.0578,-137.9188,manta,333,1.303,4.691,-9999,-9999,0.261,0.582,0.227,
SEAPLEX-0908NH,,S2,166,,"2009-08-09 11:27:00",,,32.0641,-137.9139,manta,333,2.512,2.5,-9999,-9999,0.502,0.262,0.264,
SEAPLEX-0908NH,,U22,176,,"2009-08-09 17:03:00",,,32.0291,-138.5077,manta,333,3.602,16.852,0.171,0.015,0.72,2.296,0.148,
SEAPLEX-0908NH,,U23,178,,"2009-08-09 20:02:00",,,32.0242,-138.9792,manta,333,2.497,7.335,-9999,-9999,0.499,1.059,0.159,
SEAPLEX-0908NH,,U24,180,,"2009-08-09 23:06:00",,,32.0189,-139.4603,manta,333,2.015,5.476,-9999,-9999,0.403,0.626,0.144,
SEAPLEX-0908NH,,U25,182,,"2009-08-10 02:07:00",,,32.0309,-139.9165,manta,333,0.945,3.203,-9999,-9999,0.189,0.363,0.075,
SEAPLEX-0908NH,,U26,186,,"2009-08-10 05:04:00",,,32.0423,-140.202,manta,333,0.798,0.853,-9999,-9999,0.16,0.099,0.133,
SEAPLEX-0908NH,,U27,188,,"2009-08-10 08:05:00",,,32.3488,-140.3044,manta,333,3.58,10.864,-9999,-9999,0.716,1.645,1.779,
SEAPLEX-0908NH,,U27,190,,"2009-08-10 08:27:00",,,32.3527,-140.2948,manta,333,4.2,21.347,-9999,-9999,0.84,2.837,0.234,
SEAPLEX-0908NH,,U28,192,,"2009-08-10 10:57:00",,,32.6319,-140.3102,manta,333,1.537,9.686,0.065,0.042,0.307,1.393,0.422,
SEAPLEX-0908NH,,S3,194,,"2009-08-10 13:05:00",,,32.8981,-140.3256,manta,333,16.44,45.166,0.227,0.362,3.288,6.492,0.408,
SEAPLEX-0908NH,,S3,204,,"2009-08-10 18:53:00",,,32.9051,-140.2931,manta,333,5.039,1.199,-9999,-9999,1.008,0.158,0.379,
SEAPLEX-0908NH,,S3,220,,"2009-08-11 04:13:00",,,32.9081,-140.307,manta,333,3.261,1.646,-9999,-9999,0.652,0.195,0.213,
SEAPLEX-0908NH,,S3,222,,"2009-08-11 04:35:00",,,32.8994,-140.2976,manta,333,1.314,0.201,-9999,-9999,0.263,0.031,0.093,
SEAPLEX-0908NH,,S3,226,,"2009-08-11 08:21:00",,,32.8909,-140.3057,manta,333,7.253,4.502,0.589,0,1.451,0.719,0.098,
SEAPLEX-0908NH,,S3,228,,"2009-08-11 08:41:00",,,32.8951,-140.3124,manta,333,4.504,4.903,0.947,0.338,0.901,0.747,1.079,
SEAPLEX-0908NH,,S3,239,,"2009-08-11 12:17:00",,,32.9298,-140.3454,manta,333,32.765,27.671,1.198,0.183,6.553,4.749,0.71,
SEAPLEX-0908NH,,S3,241,,"2009-08-11 12:36:00",,,32.9259,-140.3424,manta,333,16.903,6.844,-9999,-9999,3.381,1.05,0.753,
SEAPLEX-0908NH,,U29,251,,"2009-08-11 21:58:00",,,33.6269,-139.7643,manta,333,1.452,0.966,0.871,0.048,0.291,0.162,0.559,
SEAPLEX-0908NH,,U30,253,,"2009-08-11 23:07:00",,,33.7281,-139.7718,manta,333,14.28,20.132,3.578,0.312,2.856,2.97,0.335,
SEAPLEX-0908NH,,U31,255,,"2009-08-12 02:03:00",,,34.097,-139.8239,manta,333,27.052,20.143,0.521,0.014,5.41,2.966,0.623,
SEAPLEX-0908NH,,U32,259,,"2009-08-12 05:03:00",,,34.3854,-139.8543,manta,333,11.313,21.699,0.2,0.172,2.263,2.77,0.491,
SEAPLEX-0908NH,,U33,261,,"2009-08-12 08:03:00",,,34.8136,-139.8794,manta,333,7.717,10.547,0.159,0.068,1.543,1.542,1.304,
SEAPLEX-0908NH,,U34,263,,"2009-08-12 11:04:00",,,35.2285,-139.9236,manta,333,8.649,43.675,1.615,0.029,1.73,6.037,0.922,
SEAPLEX-0908NH,,U35,267,,"2009-08-12 14:02:00",,,35.6168,-139.9762,manta,333,12.913,15.77,-9999,-9999,2.583,1.863,0.416,
SEAPLEX-0908NH,,G1.1,269,,"2009-08-12 15:02:00",,,35.7164,-139.9999,manta,333,8.15,13.264,-9999,-9999,1.63,1.699,0.796,
SEAPLEX-0908NH,,G1.2,273,,"2009-08-12 17:01:00",,,35.8035,-139.9833,manta,333,2.928,3.948,-9999,-9999,0.586,0.558,1.377,
SEAPLEX-0908NH,,G1.3,275,,"2009-08-12 18:01:00",,,35.8934,-139.9825,manta,333,5.167,17.882,0.175,0.025,1.033,2.849,2.526,
SEAPLEX-0908NH,,G1.4,277,,"2009-08-12 19:02:00",,,35.9849,-139.9826,manta,333,1.894,1.007,-9999,-9999,0.379,0.142,0.118,
SEAPLEX-0908NH,,G1.5,281,,"2009-08-12 20:59:00",,,35.9864,-139.8749,manta,333,2.724,6.059,0.108,0.132,0.545,0.915,0.192,
SEAPLEX-0908NH,,G1.6,283,,"2009-08-12 22:01:00",,,35.8993,-139.8726,manta,333,4.169,12.771,-9999,-9999,0.834,1.952,0.326,
SEAPLEX-0908NH,,G1.7,285,,"2009-08-12 23:02:00",,,35.8098,-139.873,manta,333,6.611,13.362,0.936,0.151,1.322,1.593,19.211,
SEAPLEX-0908NH,,G1.8,287,,"2009-08-13 00:09:00",,,35.7197,-139.8715,manta,333,4.545,9.737,-9999,-9999,0.909,1.176,8.07,
SEAPLEX-0908NH,,G1.9,289,,"2009-08-13 01:02:00",,,35.7185,-139.7649,manta,333,2.911,13.751,-9999,-9999,0.582,1.956,9.715,
SEAPLEX-0908NH,,G1.10,291,,"2009-08-13 02:04:00",,,35.806,-139.7601,manta,333,4.155,10.899,-9999,-9999,0.831,1.464,1.382,
SEAPLEX-0908NH,,G1.11,295,,"2009-08-13 04:04:00",,,35.8977,-139.7624,manta,333,1.967,5.273,-9999,-9999,0.393,0.636,1.322,
SEAPLEX-0908NH,,G1.12,297,,"2009-08-13 05:03:00",,,35.9828,-139.7593,manta,333,4.703,10.897,-9999,-9999,0.941,1.568,0.571,
SEAPLEX-0908NH,,G1.13,299,,"2009-08-13 06:03:00",,,35.9529,-139.6533,manta,333,3.381,8.18,-9999,-9999,0.676,1.193,1.371,
SEAPLEX-0908NH,,G1.14,303,,"2009-08-13 08:03:00",,,35.8998,-139.647,manta,333,2.255,1.912,-9999,-9999,0.451,0.264,1.127,
SEAPLEX-0908NH,,G1.15,305,,"2009-08-13 09:02:00",,,35.8086,-139.6477,manta,333,6.091,5.375,-9999,-9999,1.218,0.757,1.325,
SEAPLEX-0908NH,,G1.16,307,,"2009-08-13 10:02:00",,,35.7186,-139.6478,manta,333,16.011,12.368,-9999,-9999,3.202,1.892,0.757,
SEAPLEX-0908NH,,U36,313,,"2009-08-13 14:05:00",,,35.2701,-139.7401,manta,333,24.889,43.804,1.267,0.742,4.978,5.788,2.544,
SEAPLEX-0908NH,,U37,317,,"2009-08-13 17:02:00",,,34.8777,-139.8209,manta,333,9.499,25.947,1.354,0.448,1.9,3.475,2.388,
SEAPLEX-0908NH,,U38,319,,"2009-08-13 20:02:00",,,34.4641,-139.9072,manta,333,3.344,7.876,1.787,0.047,0.669,1.353,0.346,
SEAPLEX-0908NH,,S4,321,,"2009-08-13 23:09:00",,,34.0542,-139.9865,manta,333,2.24,6.958,-9999,-9999,0.448,0.787,0.295,
SEAPLEX-0908NH,,S4,325,,"2009-08-14 05:22:00",,,34.0569,-139.9873,manta,333,0.933,4.987,-9999,-9999,0.187,0.634,1.412,
SEAPLEX-0908NH,,S4,327,,"2009-08-14 05:42:00",,,34.0618,-139.9844,manta,333,0.521,0.706,-9999,-9999,0.104,0.088,0.364,
SEAPLEX-0908NH,,S4,334,,"2009-08-14 10:30:00",,,34.0563,-139.9629,manta,333,1.51,3.902,-9999,-9999,0.302,0.481,0.335,
SEAPLEX-0908NH,,S4,336,,"2009-08-14 11:13:00",,,34.0602,-139.9566,manta,333,1.027,1.073,-9999,-9999,0.205,0.124,0.652,
SEAPLEX-0908NH,,S4,248,,"2009-08-11 15:26:00",,,34.0538,-139.9901,manta,333,1.427,0.761,-9999,-9999,0.285,0.1,0.358,
SEAPLEX-0908NH,,S4,350,,"2009-08-14 15:24:00",,,34.0553,-139.9837,manta,333,0.576,1.08,-9999,-9999,0.115,0.161,0.209,
SEAPLEX-0908NH,,S4,354,,"2009-08-14 19:59:00",,,34.0587,-139.9829,manta,333,2.1,2.64,-9999,-9999,0.42,0.383,0.193,
SEAPLEX-0908NH,,U39,364,,"2009-08-15 02:06:00",,,34.0727,-140.4795,manta,333,2.918,8.073,0.721,0.091,0.584,1.068,0.124,
SEAPLEX-0908NH,,U40,368,,"2009-08-15 05:20:00",,,34.0563,-140.7643,manta,333,7.784,10.339,-9999,-9999,1.557,1.473,0.06,
SEAPLEX-0908NH,,L1.1,370,,"2009-08-15 08:47:00",,,34.0572,-141.3731,manta,333,1.939,3.132,-9999,-9999,0.388,0.436,0.14,
SEAPLEX-0908NH,,L1.2,372,,"2009-08-15 09:07:00",,,34.0574,-141.3811,manta,333,0.96,6.784,0.309,0.066,0.192,0.921,0.035,
SEAPLEX-0908NH,,L1.3,374,,"2009-08-15 09:27:00",,,34.0573,-141.3898,manta,333,0.476,1.154,-9999,-9999,0.095,0.158,0.9,
SEAPLEX-0908NH,,L1.4,376,,"2009-08-15 09:48:00",,,34.057,-141.4002,manta,333,0.83,1.7,-9999,-9999,0.166,0.243,0.996,
SEAPLEX-0908NH,,L1.5,378,,"2009-08-15 10:08:00",,,34.0572,-141.4107,manta,333,0.32,0.887,-9999,-9999,0.064,0.129,3.004,
SEAPLEX-0908NH,,L2.1,380,,"2009-08-15 11:30:00",,,34.0611,-141.5962,manta,333,4.123,24.176,-9999,-9999,0.825,3.068,0.312,
SEAPLEX-0908NH,,L2.2,382,,"2009-08-15 11:50:00",,,34.0636,-141.6052,manta,333,1.582,10.788,-9999,-9999,0.316,1.3,0.199,
SEAPLEX-0908NH,,L2.3,384,,"2009-08-15 12:09:00",,,34.0659,-141.6138,manta,333,3.341,8.653,-9999,-9999,0.668,1.072,0.158,
SEAPLEX-0908NH,,L2.4,386,,"2009-08-15 12:28:00",,,34.0674,-141.6223,manta,333,1.953,5.97,-9999,-9999,0.391,0.81,0.125,
SEAPLEX-0908NH,,L2.5,388,,"2009-08-15 12:47:00",,,34.0688,-141.6313,manta,333,1.784,15.755,-9999,-9999,0.357,2.198,0.104,
SEAPLEX-0908NH,,L3.1,390,,"2009-08-15 14:22:00",,,34.0645,-141.8126,manta,333,12.161,52.969,-9999,-9999,2.432,7.02,2.583,
SEAPLEX-0908NH,,L3.2,392,,"2009-08-15 14:51:00",,,34.065,-141.8314,manta,333,14.753,11.347,-9999,-9999,2.951,1.515,0.328,
SEAPLEX-0908NH,,L3.3,394,,"2009-08-15 15:09:00",,,34.0652,-141.8302,manta,333,12.316,7.637,-9999,-9999,2.463,1.038,0.348,
SEAPLEX-0908NH,,L3.4,397,,"2009-08-15 15:30:00",,,34.0651,-141.8384,manta,333,4.704,6.712,-9999,-9999,0.941,0.976,0.216,
SEAPLEX-0908NH,,L3.5,399,,"2009-08-15 15:48:00",,,34.065,-141.8469,manta,333,5,4.238,-9999,-9999,1,0.625,0.113,
SEAPLEX-0908NH,,L4.1,402,,"2009-08-15 17:23:00",,,34.0567,-142.0252,manta,333,4.079,4.753,-9999,-9999,0.816,0.618,0.597,
SEAPLEX-0908NH,,L4.2,404,,"2009-08-15 17:43:00",,,34.055,-142.0341,manta,333,1.883,2.218,0.633,0.042,0.377,0.318,1.251,
SEAPLEX-0908NH,,L4.3,406,,"2009-08-15 18:01:00",,,34.0529,-142.0422,manta,333,2.338,2.11,-9999,-9999,0.468,0.288,2.399,
SEAPLEX-0908NH,,L4.4,408,,"2009-08-15 18:20:00",,,34.0509,-142.0502,manta,333,5.99,5.384,-9999,-9999,1.198,0.786,1.863,
SEAPLEX-0908NH,,L4.5,410,,"2009-08-15 18:38:00",,,34.0482,-142.0588,manta,333,4.666,3.71,-9999,-9999,0.933,0.536,1.824,
SEAPLEX-0908NH,,U40,414,,"2009-08-16 22:00:00",,,35.016,-141.7381,manta,333,10.282,9.986,0.592,0.218,2.056,1.373,1.035,
SEAPLEX-0908NH,,U41,418,,"2009-08-16 08:04:00",,,35.7636,-141.4883,manta,333,1.93,3.901,0.064,0.055,0.386,0.569,0.49,
SEAPLEX-0908NH,,U42,422,,"2009-08-16 14:01:00",,,36.6123,-141.197,manta,333,3.992,0.774,0.069,0.015,0.799,0.104,0.684,
SEAPLEX-0908NH,,U44,428,,"2009-08-16 20:03:00",,,37.2971,-140.7126,manta,333,0.691,2.154,0.018,0,0.138,0.279,1.012,
SEAPLEX-0908NH,,U45,430,,"2009-08-17 01:59:00",,,37.7359,-139.7674,manta,333,1.801,4.234,0.055,0.016,0.36,0.541,0.939,
SEAPLEX-0908NH,,U46,434,,"2009-08-17 08:04:00",,,38.1169,-138.933,manta,333,7.366,6.063,0.03,0.026,1.473,0.928,2.273,
SEAPLEX-0908NH,,U47,438,,"2009-08-17 14:04:00",,,38.5727,-137.957,manta,333,3.978,3.891,0,0.034,0.796,0.464,2.145,
SEAPLEX-0908NH,,U48,442,,"2009-08-17 20:03:00",,,38.9982,-137.0096,manta,333,0.208,0.607,-9999,-9999,0.042,0.075,0.121,
SEAPLEX-0908NH,,U49,444,,"2009-08-18 02:04:00",,,39.389,-136.1213,manta,333,0.358,1.616,0.009,0,0.072,0.199,1.212,
SEAPLEX-0908NH,,U50,450,,"2009-08-19 20:03:00",,,42.3543,-129.4209,manta,333,0.046,0.02,-9999,-9999,0.009,0.003,0.803,
SEAPLEX-0908NH,,U51,452,,"2009-08-20 02:06:00",,,42.7969,-128.3858,manta,333,0.092,0.101,-9999,-9999,0.019,0.011,0.465,
EX1006,,E1,,1,"2010-10-19 16:04:04",,,21.6979,-154.6366,manta,333,0.046,0.101,-999,-999,,,,"Tow was done immediately before E2 but coordinates not recorded. Given coordinates are an approximation"
EX1006,,E2,,2,"2010-10-19 16:16:36",,,22.6979,-154.6366,manta,333,0.008,0.026,-999,-999,,,,
EX1006,,E3,,4,"2010-10-19 16:23:09",,,23.2278,-153.4595,manta,333,0.284,0.254,-999,-999,,,,
EX1006,,E4,,7,"2010-10-20 16:04:17",,,23.5838,-152.0133,manta,333,0.026,0.004,-999,-999,,,,
EX1006,,E5,,8,"2010-10-20 16:16:29",,,24.6293,-151.6611,manta,333,0.036,0.006,-999,-999,,,,
EX1006,,E6,,9,"2010-10-20 16:22:35",,,25.1354,-150.4719,manta,333,0.698,2.033,0.008,0.043,,,,
EX1006,,E7,,11,"2010-10-21 16:04:25",,,25.5686,-149.1358,manta,333,1.106,4.401,1.555,0.133,,,,
EX1006,,E8,,12,"2010-10-21 16:16:21",,,26.4972,-148.7426,manta,333,0.162,1.192,0.007,0.012,,,,
EX1006,,E9,,13,"2010-10-21 16:22:26",,,26.9801,-147.644,manta,333,0.371,1.123,0,0.023,,,,
EX1006,,E10,,15,"2010-10-22 16:04:27",,,27.4209,-146.4596,manta,333,0.462,1.209,0,0.028,,,,
EX1006,,E11,,16,"2010-10-22 16:16:23",,,28.3507,-144.203,manta,333,0.051,0.153,0.026,0,,,,
EX1006,,E12,,17,"2010-10-22 16:22:25",,,28.8011,-143.0573,manta,333,0.064,0.61,0.018,0,,,,
EX1006,,E13,,19,"2010-10-23 16:04:21",,,29.2323,-143.8742,manta,333,0.143,0.644,0,0,,,,
EX1006,,E14,,20,"2010-10-23 16:16:27",,,30.2367,-141.7966,manta,333,0.059,0.086,0.017,0,,,,
EX1006,,E15,,21,"2010-10-23 16:22:24",,,30.6528,-140.6128,manta,333,2.471,3.792,0.088,0.015,,,,
EX1006,,E16,,23,"2010-10-24 16:04:22",,,31.072,-139.3982,manta,333,2.215,1.923,0.759,0.367,,,,
EX1006,,E17,,25,"2010-10-24 16:16:33",,,31.904,-137.2726,manta,333,0.479,1.976,0.076,0.022,,,,
EX1006,,E18,,26,"2010-10-24 16:22:27",,,32.2645,-136.1706,manta,333,3.613,2.324,0.135,0,,,,
EX1006,,E19,,28,"2010-10-25 16:04:22",,,32.6086,-136.9844,manta,333,3.039,7.602,3.631,0,,,,
EX1006,,E20,,29,"2010-10-25 16:16:24",,,33.3557,-134.8486,manta,333,4.551,3.993,1.465,0.024,,,,
EX1006,,E21,,30,"2010-10-25 16:22:25",,,33.7404,-133.8036,manta,333,0.17,0.262,0.034,0.006,,,,
EX1006,,E22,,32,"2010-10-26 16:04:17",,,34.1215,-132.7483,manta,333,0.033,0.78,0,0,,,,
EX1006,,E23,,33,"2010-10-26 16:16:56",,,34.9838,-130.9448,manta,333,0.059,0.01,0,0,,,,
EX1006,,E24,,34,"2010-10-26 16:22:22",,,35.3361,-129.8055,manta,333,0.053,0.099,0.036,0,,,,
EX1006,,E25,,36,"2010-10-27 16:04:20",,,35.6239,-128.6742,manta,333,0.038,0.035,0,0,,,,
EX1006,,E26,,37,"2010-10-27 16:16:22",,,36.2544,-126.7121,manta,333,0.009,0.004,-999,-999,,,,
EX1006,,E27,,38,"2010-10-27 16:22:18",,,36.5987,-125.8362,manta,333,0.009,0.004,-999,-999,,,,
EX1006,,E28,,40,"2010-10-28 16:04:16",,,36.813,-124.5854,manta,333,0.009,0.004,-999,-999,,,,
"STAR 8710",M4,73,,,"1987-11-12 19:01:00",0,85,0.683,-85.1,manta,505,0.032,0.006,,,,,,
"STAR 8710",JD,30,,,"1987-09-21 22:04:00",0,105,0.183,-105.55,manta,505,0,0,,,,,,
"STAR 8710",M4,89,,,"1987-11-28 22:02:00",0,124,0.75,-124.767,manta,505,0,0,,,,,,
"STAR 8710",M4,52,,,"1987-10-15 20:02:00",1,95,1.95,-95.583,manta,505,0.038,0.072,,,,,,
"STAR 8710",JD,24,,,"1987-09-15 21:20:00",1,117,1.217,-117.95,manta,505,0,0,,,,,,
"STAR 8710",M4,48,,,"1987-10-10 19:54:00",2,85,2.383,-85.9,manta,505,0.018,0.022,,,,,,
"STAR 8710",M4,38,,,"1987-09-21 21:31:00",2,101,2.733,-101.633,manta,505,0,0,,,,,,
"STAR 8710",M4,36,,,"1987-09-19 21:12:00",2,108,2.333,-108.9,manta,505,0.011,0.001,,,,,,
"STAR 8710",JD,27,,,"1987-09-18 21:09:00",2,110,2.217,-110.367,manta,505,0,0,,,,,,
"STAR 8710",M4,35,,,"1987-09-18 21:04:00",2,111,2.367,-111.05,manta,505,0.012,0.002,,,,,,
"STAR 8710",JD,26,,,"1987-09-17 21:09:00",2,113,2.067,-113.233,manta,505,0,0,,,,,,
"STAR 8710",M4,34,,,"1987-09-17 22:47:00",2,113,2.55,-114,manta,505,0,0,,,,,,
"STAR 8710",JD,23,,,"1987-09-14 21:25:00",2,114,2.9,-114.233,manta,505,0.011,0.001,,,,,,
"STAR 8710",M4,30,,,"1987-09-14 22:06:00",2,122,2.867,-122.483,manta,505,0,0,,,,,,
"STAR 8710",M4,37,,,"1987-09-20 20:53:00",3,105,3.367,-105.3,manta,505,0,0,,,,,,
"STAR 8710",M4,33,,,"1987-09-16 22:13:00",3,117,3.017,-117.033,manta,505,0.022,0.026,,,,,,
"STAR 8710",M4,31,,,"1987-09-15 22:23:00",3,119,3.667,-119.6,manta,505,0,0,,,,,,
"STAR 8710",M4,51,,,"1987-10-14 19:02:00",4,93,4.167,-93.433,manta,505,0.044,0.401,,,,,,
"STAR 8710",JD,33,,,"1987-09-24 20:06:00",4,96,4.667,-96.583,manta,505,0.012,0.013,,,,,,
"STAR 8710",JD,59,,,"1987-10-29 20:05:00",4,101,4.983,-102,manta,505,0,0,,,,,,
"STAR 8710",JD,22,,,"1987-09-13 21:16:00",4,113,4.667,-113.283,manta,505,0.035,0.002,,,,,,
"STAR 8710",M4,90,,,"1987-11-29 21:52:00",4,125,4.25,-125.433,manta,505,0,0,,,,,,
"STAR 8710",JD,43,,,"1987-10-12 19:05:00",50,85,5,-85.883,manta,505,0.087,0.091,,,,,,
"Southtow XIII",,91,,,"1973-02-13 23:43:00",,,30,-144,neuston,505,0.004,0.012,0,0,,,,
"Southtow XIII",,10-88,,,"1973-02-10 22:15:00",,,31.033,-155.067,neuston,505,0.001,0.001,0,0.001,,,,
"Southtow XIII",,10-89,,,"1973-02-11 00:44:00",,,31.167,-155.033,neuston,505,0.001,0.001,0,0,,,,
"Southtow XIII",,"14-101 ",,,"1973-02-14 19:07:00",,,29.983,-144.933,neuston,505,0.001,0.003,0,0,,,,
"Southtow XIII",,"14-94 ",,,"1973-02-14 02:33:00",,,30.033,-144.983,neuston,505,0.006,0.016,0.001,0,,,,
"Southtow XIII",,"14-96 ",,,"1973-02-14 14:28:00",,,30.367,-145.1,neuston,505,0.002,0,0,0,,,,
"Southtow XIII",,"14-97 ",,,"1973-02-14 15:45:00",,,30.017,-145.033,neuston,505,0,0,0,0,,,,
"Southtow XIII",,"14-98 ",,,"1973-02-14 16:55:00",,,29.967,-144.933,neuston,505,0.002,0,0.001,0,,,,
"Southtow XIII",,"16-102 ",,,"1973-02-15 19:02:00",,,30.433,-140.767,neuston,505,0,0,0,0,,,,
